Name	Set	Imagefile	Primary	Secondary	Race	Alignment	Rarity	Text	MPs	Specific	Skill	Mind	Direct	General	Prowess	Body	Corruption	Home	Unique	RegionType/Path	SiteType	Playable	GoldRing	GreaterItem	MajorItem	MinorItem	Information	Palantiri	Scroll	Hoard	Gear	Haven	Stage	Strikes	erratum	ice_errata	dreamcard
Wose Elite Hunter	MEWR	mewr_woseelitehunter.jpg	Character	character	Wose	Dual	-	[MP: 1; Mind: 3; DI: 0; P/B: 3/8]---W/R---Wose. +3 prowess against Orcs. May only be revealed as a starting character if the company already includes a Wose character with a higher mind.  tap: allow his company to move with region movement as if two non-Dark-domain, non- Shadow-land regions separated by a mountain range were adjacent (at least 1 region must contain a Wose-hold). Home site: any Wose-hold.	1	-	Warrior Ranger	3.0	0.0	-	3.0	8.0	-	any Wose-hold	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Beacons Alight	MEWR	mewr_beaconsalight.jpg	Hazard	Long-event	-	Neutral	-	All sites in Gondor receive an additional automatic-attack: Men -- 3 strikes with 8 prowess (detainment against hero   and covert companies).     Additionally, each player may bring a Dunadan hazard creature from his discard pile to his play deck (reshuffle)  during the end-of-turn phase.	-	site	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Bitter Heirlooms	MEWR	mewr_bitterheirlooms.jpg	Hazard	Permanent-event	Corruption	Neutral	-	[CP: 2] Corruption. Playable on a Lord avatar. +1 to his SP.  A Dwarf-lord also receives 2 corruption points. Target must make a roll during the organization phase if not at a Haven [H], modified by -4 if his SP exceed 5, -6 if his SP exceed 10, -8 if his SP exceed 15, or -10 if his SP exceed 20. If the result is 0 or less, he must move to a different site this turn. Cannot be duplicated on a given character. Discard during the organization phase if bearer is at a Haven [H].	-	-	-	-	-	-	-	-	2.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Cult of the Eye	MEWR	mewr_cultoftheeye.jpg	Hazard	Permanent-event	-	Neutral	-	Playable on a minion Man or Dunadan faction if Doors of Night is in play. All Border-holds [B] and Free- holds [F] in the region containing the site where the faction was played have an additional automatic- attack: Men -- 2 strikes with 10 prowess (detainment against black players' companies). This attack is cancelled for players that have a faction in such a region.     Additionally, all influence attempts by a hero player against the faction are modified by -2.	-	site	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Death of a Kinsman	MEWR	mewr_deathofakinsman.jpg	Hazard	Short-event	-	Neutral	-	Unique. Playable after an attack if a character has been killed by the attack. Tap all other characters in the company of the same race or with the same home site	-	-	-	-	-	-	-	-	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Dunadan Explorers	MEWR	mewr_dunadanexplorers.jpg	Hazard	Creature	Dunadan Dunedain	Neutral	-	[MP: 1*; P/B: 9/5] Dunedain. {Double Coastal Seas}  3 strikes. Detainment against hero and covert companies (-2 prowess against hero companies). May also be keyed to Bay of Belfalas, Coast of Harad, and Mouths of the Anduin.  If Gates of Morning or Sun is in play, may also be played keyed to any port and to any Free-domain [f] or Border-land [b] adjacent to a Coastal Sea [c] region.	1	-	-	-	-	-	9.0	5.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3.0	0.0	-	1.0
Errand-riders of Gondor	MEWR	mewr_errandridersofgondor.jpg	Hazard	Creature	Dunadan Dunedain	Neutral	-	[MP: 1*; P/B: 9/5] Dunedain. {Wilderness, Borderless, Free-Domain}  2 strikes. Detainment against hero and covert companies (-2 prowess against hero companies). May also be keyed to any Dunadan-hold.     Unless this attack is cancelled or defeated, any Dunadan creature may be played on a company that has faced Errand-riders of Gondor; if such a creature is only keyable to regions by name, it may only be played if the company is moving through a region in the same territory as one of the listed regions.	1*	-	-	-	-	-	9.0	5.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	0.0	-	1.0
Extravagant Tombs	MEWR	mewr_extravaganttombs.jpg	Hazard	Permanent-event	-	Neutral	-	Playable on an Atani-lord. +2 to his SP. His companies must use minion version for all Elf-hold sites and may attack any company with an Elf. Additionally, he cannot play Elf characters and all Elf characters require +1 mind to control. His Elf factions are worth 0 mp in all cases.      Cannot be duplicated on a given Atani-lord. Discard when any play deck is exhausted. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	-	0.0	-	1.0
Fear of Death	MEWR	mewr_fearofdeath.jpg	Hazard	Permanent-event	Corruption	Neutral	-	[CP: 1(2) Corruption. Playable on an Atani-lord. The character receives 1 corruption point (2 if a Dunadan-lord). Target character makes a CP during the site phase if an Elf is at the same site.      During his organization phase, a character with this card may tap to attempt to remove it. Make a roll: if the result is greater than 5, discard this card. Cannot be duplicated on a given character	-	-	-	-	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	-	0.0	-	1.0
Heritage Forsaken	MEWR	mewr_heritageforsaken.jpg	Hazard	Permanent-event	-	Neutral	-	[MP: -2] Playable on a Dunadan character not moving through a Coastal Sea [c] region. The character is worth -2 character mp (to a minimum of 0).  During his movement/hazard phase the character may try to remove this card. Make a roll, adding 3 to the roll if the character taps and 3 for each Coastal Sea [c] in the company's site path; if the result is greater than 12, discard this card.   Cannot be duplicated on a given turn or a given character.	-2	-	-	-	-	-	-	-	-	place	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
His Fury Has Betrayed Him	MEWR	mewr_hisfuryhasbetrayedhim.jpg	Hazard	Short-event	-	Neutral	-	Playable during strike assignement on a non-avatar warrior, if the warrior is chosen to face a strike from a non-detainment creature attack with more than one strike. No strike may be cancelled. The warrior faces the attack as though he were a single character company. Each excess strike gives -1 body to the warrior. Cannot be duplicated on a given attack.	-	attack	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Kin-strife	MEWR	mewr_kinstrife.jpg	Hazard	Permanent-event	-	Neutral	-	Playable on a company containing only Dunadan and Man characters. If the company contains any Dunedain, no Dunadan characters may join the company. If the company contains any Men, no Man characters may join the company.  The hazard player may discard this card (counting as 1 against the hazard limit) to tap a Dunadan or a Man character in the company.  Discard if the company contains no Dunadan or Man characters outside the organization phase, or if a character in the company plays a Man or Dunadan faction.	-	-	-	-	-	-	-	-	-	company	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Last Army of the West	MEWR	mewr_lastarmyofthewest.jpg	Hazard	Permanent-event	-	Neutral	-	[MP: 3*] Unique. Playable if Doors of Night is not in play. Each minion company moving through Anorien, Ithilien, or Dagorlad faces 3 attacks: Men -- 5 strikes with 8 prowess; Dunedain -- 3 strikes with 10 prowess; Eagles -- 2 strikes with 12 prowess. If these attacks are defeated, place this card in opponent's mp.      Additionally, any minion company moving through the above mentioned regions may only move 3 regions in all cases (even if with starter movement).	3	site	-	-	-	-	-	-	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Left on the Field	MEWR	mewr_leftonthefield.jpg	Hazard	Permanent-event	Prisoner	Neutral	-	Playable on an item (except a unique ring item) that is discarded when a character leaves active play (or is taken prisoner); does not count against the hazard limit. Place this card with the item at a site in the same or adjacent region as the site the former bearer was at or moving to (hazard player's choice); it may be played by any player at this site.     If this card is discarded place it in opponent's mp instead: it is worth -1 mp. Discard this card if the item is played by any player other than opponent.	-	item	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Lord of the Nazgul	MEWR	mewr_lordofthenazgul.jpg	Hazard	Permanent-event	-	Neutral	-	Playable if a manifestation of The Witch-king is in play. Any player may discard (at any time) an event with Unleashed in its title from hand, to target and cancel any effect that would cancel an attack or strike by a Nazgul or Ringwraith.     Discard this card if no manifestation of a Nazgul is in play.	-	nazgul	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
No More Would Come	MEWR	mewr_nomorewouldcome.jpg	Hazard	Permanent-event	-	Neutral	-	Each player must make a roll during his untap phase for each of his tapped factions: if the result is lower than 8, the faction does not untap.  Cannot be duplicated. Discard when any play deck is exhausted.	-	faction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Pride Increased with Despair	MEWR	mewr_prideincreasedwithdespair.jpg	Hazard	Permanent-event	-	Neutral	-	Playable on a non-avatar character with a combined mind and unused DI greater than 5. Target character's CP are modified by -1 for each ally he controls and for each resource permanent-event with a mp played on him. Cannot be duplicated on a given character.     Discard this card if target character successfully transfers a greater or special item to another character in his company.	-	check	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Quick As a Snake	MEWR	mewr_quickasasnake.jpg	Hazard	Short-event	-	Neutral	-	Playable on an attack that chooses defending characters, after strikes are assigned; does not count against the hazard limit. Strikes from this attack cannot be cancelled or made ineffectual.	-	attack	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Reaching Wings of Darkness	MEWR	mewr_reachingwingsofdarkness.jpg	Hazard	Permanent-event	Environment	Neutral	-	Environment. If Doors of Night is in play, the first hazard creature played during each movement/ hazard phase which attack is cancelled, does not count against the hazard limit. If Will of Sauron is in play, untapping Power Built by Waiting counts as only 1 against the hazard limit. Cannot be duplicated.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Ruffians	MEWR	mewr_ruffians.jpg	Hazard	Creature	Man Men	Neutral	-	[MP: 1; P/B: 7/0] Men. {Playable: Border-lands, Wilderness and Ruins} 4 strikes. May also be played keyed to the Shire and Bree. May also be revealed as an on-guard creature at any Border-hold [B], if you tap an agent at the site.     Any Pick-pocket played on a company that has faced Ruffians receives +3 prowess (unless Ruffians was cancelled).	1	-	-	-	-	-	7.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	0.0	-	1.0
Siege of Gondor	MEWR	mewr_siegeofgondor.jpg	Hazard	Permanent-event	-	Neutral	-	Unique. Playable if Doors of Night is in play. Any hero company moving through Anorien, Ithilien, Imlad Morgul and/or Gorgoroth must face the following attacks: Men -- 4 strikes with 7 prowess; Orcs -- 4 strikes with 9 prowess; Trolls -- 2 strikes with 10 prowess;  Animal -- 1 strike with 11 prowess. The company may attempt to cancel each attack by making a roll, adding 1 for each scout in the company.  If the result is greater than 8, the attack is cancelled. If all 4 attacks are defeated, opponent gains 3 kill mp.              Additionally, Anorien is considered a Shadow-land [s] for the purposes of playing hazards other than Undead.	(3)	site	-	-	-	-	-	-	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Spirit of Mordor	MEWR	mewr_spiritofmordor.jpg	Hazard	Short-event	-	Neutral	-	Playable on a non-unique detainment attack by Men, Orcs, Trolls, or Undead without an asterix (*). May also be played on a detainment (non-grey) agent attack.   The attack proceeds as if it were a non- detainment attack.	-	attack	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Taint of Ambition	MEWR	mewr_taintofambition.jpg	Hazard	Permanent-event	Corruption	Neutral	-	Corruption. Playable on a non-avatar diplomat. Target character receives 1 corruption point and makes a CP when a resource card requiring the diplomat skill is played on a character in the company or at the site.    During the organization phase at his home site or a Haven [H] (or site that acts as a Haven for healing purposes) the character may tap to attempt to remove this card and make a roll: if the result is greater than 6, discard this card.   Cannot be duplicated on a given character.	-	-	-	-	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Taint of Deep Lore	MEWR	mewr_taintofdeeplore.jpg	Hazard	Permanent-event	Corruption	Neutral	-	Corruption. Playable on a non-avatar sage. Target character receives 1 corruption point and makes a CP when a resource card requiring the sage skill is played on a character in the company or at the site.    During the organization phase at his home site or a Haven [H] (or site that acts as a Haven for healing purposes) the character may tap to attempt to remove this card and make a roll: if the result is greater than 6, discard this card.   Cannot be duplicated on a given character.	-	-	-	-	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Taint of Glory	MEWR	mewr_taintofglory.jpg	Hazard	Permanent-event	Corruption	Neutral	-	Corruption. Playable on a non-avatar warrior. Target character receives 1 corruption point and makes a CP when a resource card requiring the warrior skill is played on a character in the company or at the site.    During the organization phase at his home site or a Haven [H] (or site that acts as a Haven for healing purposes) the character may tap to attempt to remove this card and make a roll: if the result is greater than 6, discard this card.   Cannot be duplicated on a given character.	-	-	-	-	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
The Black Captain	MEWR	mewr_theblackcaptain.jpg	Hazard	Permanent-event	-	Neutral	-	Unique. Playable if a manifestation of Witch-king of Angmar and Doors of Night are in play. Nazgul creatures may be played keyed to Imlad Morgul, Ithilien and Anorien, and to sites in these regions (except Henneth Annun). Witch-king of Angmar may attack from his permanent-event state, counting as one against the hazard limit. If he is not defeated after such an attack he is returned to his controlling player's hand.      Discard this card at the end of any turn if Doors of Night and the Witch-king of Angmar are not in active play, or if The Witch-king is in play but not at a site in the above named regions	-	nazgul	-	-	-	-	-	-	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
The Muster of Gondor	MEWR	mewr_themusterofgondor.jpg	Hazard	Permanent-event	-	Neutral	-	All detainment attacks keyed by name or type to Rohan, Anorien, Lebennin or Belfalas or sites in these regions receive +2 prowess and cannot be cancelled.      Additionally, Lost in Free-domains cannot be played against hero companies moving through these regions.     Discard when any play deck is exhausted. Cannot be duplicated.	-	attack	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
The Shirriffs	MEWR	mewr_theshirriffs.jpg	Hazard	Creature	Hobbits	Neutral	-	[MP: 2*; P/B: 6/9] Hobbits. 6 strikes. Detainment against hero and covert companies. May be played keyed to the Shire and to Brandy Hall. May also be played on-guard and revealed as an (additional) automatic-attack at any site in the Shire. 	2	-	-	-	-	-	6.0	9.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6.0	0.0	-	1.0
Too Much to Ask	MEWR	mewr_toomuchtoask.jpg	Hazard	Short-event	-	Neutral	-	Playable on a non-unique ally. Wound the ally (no body check is required), or discard the ally if he is already wounded.	-	ally	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Venomous Sting	MEWR	mewr_venomoussting.jpg	Hazard	Permanent-event	Disease	Neutral	-	[P/B: -1/-1] Disease. Playable on a character after a successful strike against him from a Spider or Vermin attack.   Does not count against the hazard limit. Disease. Target character receives -1 to prowess and body, and his company may move 1 less region (to a minimum of 2).     Discard this card when target character is healed or is at a Haven [H]. If played on an Elf, you may discard this card during the organization phase.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Watchers at the Gate	MEWR	mewr_watchersatthegate.jpg	Hazard	Permanent-event	-	Neutral	-	Playable on a Shadow-hold [S] or Dark-hold [D]. The site gains an additional automatic- attack: Pukel-men -- 2 strikes with 9 prowess, detainment against minion companies. Cannot be duplicated on a given site. Discard if the attack is defeated or when the site leaves active play. 	-	auto	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Weary and Asleep	MEWR	mewr_wearyandasleep.jpg	Hazard	Permanent-event	-	Neutral	-	Playable on a moving hero company. Place 1 counter on this card if the company moves to a non-Haven site; delete 1 counter from it if the company moves to a Haven [H] or Shadow-hold [S]; delete 2 counters if the company moves Dark-hold [D]; delete an additional counter if the company moves to an Under-deep site.  At the end of each movement/hazard phase, tap 1 character for each counter on this card. For each food item in the company (to a maximum of 3) you may ignore the effect of 1 counter. Discard this card if there are no counters on it.	-	-	-	-	-	-	-	-	-	company	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Weary of War	MEWR	mewr_wearyofwar.jpg	Hazard	Permanent-event	-	Neutral	-	Every non-Ringwraith character in a company that has initiated CvCC must make a  CP modified by -2 during the end-of-turn phase.	-	check	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Wose Ambush	MEWR	mewr_woseambush.jpg	Hazard	Creature	Woses	Neutral	-	[MP: 1; P/B: 7/0]  Woses. Each character in the company faces a strike. +3 prowess against Orcs. May be played keyed to any Wose-hold. May also be played keyed to Andrast, Lamedon, Old Pukel Gap or any region containing a Wose-hold, and to Border-holds [B], Ruins & Lairs [R] and Shadow-holds [S] in these regions.       Any body check resulting from the attack is modified by +2. May not be played if opponent has a Wose faction in play or a Wose character in the company. Cannot be duplicated on a given movement/ hazard phase.	1*	-	-	-	-	-	7.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	0.0	-	1.0
Hyarmenfalas	MEWR	mewr_hyarmenfalas.jpg	Region	-	-	Neutral	-	-	-	-	-	-	-	-	-	-	-	-	unique	Border-land	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
