Name	Set	Imagefile	Primary	Secondary	Race	Alignment	Rarity	MPs	Specific	Skill	Mind	Direct	General	Prowess	Body	Corruption	Home	Unique	RegionType/Path	SiteType	Playable	GoldRing	GreaterItem	MajorItem	MinorItem	Information	Palantiri	Scroll	Hoard	Gear	Haven	Stage	Strikes	erratum	ice_errata	dreamcard	Text
Daelomin Ahunt	METD	metd_daelominahunt.jpg	Hazard	Long-event	Dragon Cold-dragon Female	Neutral	Uncommon	4	-	Winged	-	-	-	11.0	7.0	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	0.0	-	0.0	Unique. Any company moving in Withered Heath, Northern Rhovanion, Iron Hills, and/or Grey Mountain Narrows immediately faces one Dragon attack (considered a hazard creature attack)-4 strikes at 11/7 (attacker chooses defending characters). If Doors of Night is in play, this attack also affects: Brown Lands, Southern Rhovanion, Dorwinion, Dagorlad, and Horse Plains. 
Daelomin at Home	METD	metd_daelominathome.jpg	Hazard	Permanent-event	Dragon Cold-dragon Female	Neutral	Rare	4	-	Winged	-	-	-	14.0	8.0	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3.0	0.0	-	0.0	"Unique. Unless Daelomin Ahunt is in play, Dancing Spire has an additional automatic-attack: Dragon-3 strikes at 14/8. In addition, you may discard this card from play during opponent's movement/hazard phase (not counting against the hazard limit) to increase the hazard limit against one company by two.  ""The general opinion was that catching a dragon napping was not as easy as it sounded...""-Hob "
Deftness of Agility	METD	metd_deftnessofagility.jpg	Hazard	Short-event	-	Neutral	Rare	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"A Dragon can assign a strike (with a -3 modification to its prowess) to a character already assigned to receive one of its strikes. Alternatively, a manifestation of Bairanax can direct such a strike with no prowess modification.  ""Not Gollum himself could have twisted more quickly or more fiercely.""-LotRIV "
Dire Wolves	METD	metd_direwolves.jpg	Hazard	Creature	Wolf Wolves	Neutral	Common	1	-	-	-	-	-	8.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	0.0	-	0.0	"Wolves. Four strikes. Two wildernesses [w] in site path are required.  ""...the evil packs that lived under the shadow of the goblin-infested mountains, over the Edge of the Wild on the borders of the unknown. Wolves of that sort smell keened than goblins, and do not need to see you to catch you!""-Hob "
Dragon-sickness	METD	metd_dragonsickness.jpg	Hazard	Short-event	-	Neutral	Common	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Playable on a character bearing a major or greater item. Character makes a corruption check modified by -1.  ""...being of the kind that easily catches such disease he fell under the dragon-sickness, and took most of the gold and fled with it...""-Hob "
Dragon's Blood	METD	metd_dragonsblood.jpg	Hazard	Short-event	-	Neutral	Common	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Playable on a character facing a Dragon or Drake strike (before the dice are rolled to resolve the strike). If the strike fails, the target character must make a body check modified by -1 if he has armor, by -1 if he has a shield, and by -1 if he has a helmet. Cannot be duplicated on a given character.  ""The enchanted blood of the Great Worms becomes increasingly caustic and corrosive with age.""-Kuduk Lore "
Dragon's Breath	METD	metd_dragonsbreath.jpg	Hazard	Short-event	-	Neutral	Uncommon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	0.0	-	0.0	Playable on an attack by a True Fire-Drake, by a Winged Fire-Drake, or by any manifestations of Itangast, Leucaruth, Scorba, or Smaug (must be played before strikes are assigned). Each character in the company being attacked must immediately face one strike equal to the attack's prowess. Instead of using prowess against the strike, each character uses his body modified by +1 if he has a shield, by +1 if he has a helmet, and by +3 if he taps. The target attack which follows receives +1 body and -2 prowess. Cannot be duplicated on a given attack. 
Dragon's Curse	METD	metd_dragonscurse.jpg	Hazard	Permanent-event	Corruption Dark Enchantment	Neutral	Common	-	-	-	-	-	-	-	-	2.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	Corruption. Dark Enchantment. Playable on a non-Wizard character facing a strike from a Dragon hazard creature attack. The strike's prowess is modified by -1. The character recieves 2 corruption points. The target character makes a corruption check at the end of his untap phase. Cannot be duplicated on a given character. During his organization phase, a sage in the target character's company may tap to attempt to remove this card. Make a roll (or draw a #): if this result is greater than 6, discard this card. 
Dragon's Terror	METD	metd_dragonsterror.jpg	Hazard	Short-event	Dark Enchantment	Neutral	Uncommon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	Dark Enchantment. Playable on a Dragon or Drake hazard creature attack before the strikes are assigned. For each card you discard from your hand, when Dragon's Terror is declared, target one non-Wizard character of your choice in the defending company and make a roll (or draw a #)-add +2 for a Dragon attack. If the result is greater than the character's mind, the character taps. Each card discarded in this fashion counts as one against the company's hazard limit. 
Dunlending Raiders	METD	metd_dunlendingraiders.jpg	Hazard	Creature	Man Men	Neutral	Common	1	-	-	-	-	-	8.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5.0	0.0	-	0.0	"Men. Five strikes. Playable keyed to Enedhwaith, Cardolan, Hollin, Rhudaur, and Dunland; and may also be played at Ruins & Lairs [R] in these regions. Two wildernesses [w] in site path are required.  ""Only in Dunland did Men of this race hold to their old speech and manners: a secret folk, unfriendly to the Dunedain, hating the Rohirrim.""-LotR "
Earcaraxe	METD	metd_earcaraxe.jpg	Hazard	Creature	Dragon Cold-dragon Sea Serpent	Neutral	Rare	4	-	Wyrm	-	-	-	17.0	7.0	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	0.0	-	0.0	"Unique. May be played at Isle of the Ulond. Dragon. Two strikes. Attacker chooses defending characters. If Doors of Night is in play, may also be played keyed to Andrast Coast, Bay of Belfalas, Eriadoran Coast, and Andrast; and may also be played at sites in these regions.  ""Weary of solitude, the Sea-fang paradoxically shuns companionship...""-Kuduk Lore "
Earcaraxe Ahunt	METD	metd_earcaraxeahunt.jpg	Hazard	Long-event	Dragon Cold-dragon Sea Serpent	Neutral	Uncommon	4	-	Wyrm	-	-	-	15.0	6.0	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3.0	1.0	-	0.0	Unique. Any company moving in Andrast Coast, Bay of Belfalas, Eriadoran Coast, and/or Andrast immediately faces one Dragon attack (considered a hazard creature)-3 strikes at 15/6 (attacker chooses defending characters). If Doors of Night is in play, this attack also affects: Old Pukel-land, Enedhwaith, Anfalas, and any Coastal Sea [c] region (or region type). 
Earcaraxe at Home	METD	metd_earcaraxeathome.jpg	Hazard	Permanent-event	Dragon Cold-dragon Sea Serpent	Neutral	Rare	4	-	Wyrm	-	-	-	18.0	7.0	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	0.0	-	0.0	"Unique. Unless Earcaraxe Ahunt is in play, Isle of the Ulond has an additional automatic-attack: Dragon-2 strikes at 18/7. In addition, the hazard limit against any character moving with a Coastal Sea [c] region in its site path is increased by one.  ""...the unmistakable gurgling noise of some vast animal snoring in its sleep...""-Hob "
Exile of Solitude	METD	metd_exileofsolitude.jpg	Hazard	Short-event	-	Neutral	Rare	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	One strike of an at home manifestation of any unique Dragon can attempt to capture a non-Wizard character. This strike's prowess is modified by -1. If this strike is successful, it forces the discard of the character (with no body check) and all cards he controls. Alternatively, all strikes of Earcaraxe at Home attempt to capture all non-Wizard characters defending against her strikes. 
Fever of Unrest	METD	metd_feverofunrest.jpg	Hazard	Short-event	-	Neutral	Rare	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"A Dragon hazard creature can attack a company with four Wildernesses [w] in its site path. Alternatively, Leucaruth can attack a company with three Wildernesses [w] in her site path.  ""Perpetually angry and always prowling, the Worm of Ire suffers a restlessness that drives her onward to the spore of her hated Dwarven enemies.""-Kuduk Lore "
Foolish Words	METD	metd_foolishwords.jpg	Hazard	Permanent-event	-	Neutral	Common	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	1.0	0.0	Playable on any character.  Any riddling roll, offering attempt, or influence attempt by the target character is modified by -4. If placed on-guard, it may be revealed and played when a character in the company declares a riddling, offering, or influence attempt. During the organization phase, a character with this card may tap to attempt to remove it. Make a roll (or draw a #): if this result is greater than 7, discard this card. Cannot be duplicated. 
Frenzy of Madness	METD	metd_frenzyofmadness.jpg	Hazard	Short-event	-	Neutral	Rare	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Playable on a Shadow-hold [S] not in Gorgoroth, Nurn, Udun, or Imlad Morgul. If you discard (from your hand) a hazard creature playable at the site, one Dragon hazard creature may be played this turn keyed to the site. Alternatively, Daelomin may be played at the site this turn (without discarding a creature).  ""...her sight blasted by inner lightnings, her mind in agony...""-LotRIV "
From the Pits of Angband	METD	metd_fromthepitsofangband.jpg	Hazard	Long-event	-	Neutral	Uncommon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	At the end of each turn, each player may take one unique Dragon manifestation or one Drake hazard creature from his discard pile and shufle it into his play deck. Alternatively, if Doors of Night is in play, at the end of each turn, each player may return one unique Dragon manifestation and/or one Drake hazard creature from his discard pile to his hand. Cannot be duplicated. 
Gothmog	METD	metd_gothmog.jpg	Hazard	Creature	Troll	Neutral	Rare	3	-	-	-	-	-	9.0	9.0	-	-	unique	-	D	-	-	-	-	-	-	-	-	-	-	-	-	1.0	0.0	-	0.0	"Unique. Troll. One strike. May also be played following an Orc or Troll attack in a Shadow-land [s] or Shadow-hold [S].  ""There they had been mastered for the sack of the City and the rape of Gondor, waiting on the call of their captain. He now was destroyed; but Gothmog the lietenant of Morgul had flung them into the fray..""-LotRV "
Half an Eye Open	METD	metd_halfaneyeopen.jpg	Hazard	Short-event	-	Neutral	Common	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Playable on a Dragon or Drake attack (before the strikes are assigned). Attacker may choose defending non-Wizard character to face the first strike assigned from the attack. Alternatively, it may be revealed as an on-guard card when a burglary attempt is announced-this attempt is modified by -5.  ""...they keep half an eye open watching while they sleep, if they are suspicious..""-Hob "
Hobgoblins	METD	metd_hobgoblins.jpg	Hazard	Creature	Orcs	Neutral	Common	1	-	-	-	-	-	10.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	0.0	-	0.0	"Orcs. Two strikes. Two Wilderness [w] in site path are required.  ""'...Before you could get round Mirkwood in the North you would be right among the slopes of the Grey Mountains, and they are simply stiff with goblins, hobgoblins, and orcs of the worst description.""-Hob "
Host of Bats	METD	metd_hostofbats.jpg	Hazard	Long-event	-	Neutral	Uncommon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	Against each company, one Orc hazard creature may be played that does not count against the hazard limit. Any character wounded by an Orc attack makes an additional body check modified by -1. Additionally, if Shadow of Mordor is in play, any character wounded by any attack keyed to (or an automatic-attack at) a Shadow-hold [S] or a Dark-hold [D] makes an additional body check modified by -2. Cannot be duplicated. 
Ice-drake	METD	metd_icedrake.jpg	Hazard	Creature	Drake	Neutral	Common	1	-	-	-	-	-	15.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	1.0	-	0.0	"Drake. Two strikes. May be played keyed to Elven Shores, Forochel, Angmar, Gundabad, Grey Mountain Narrows, and Withered Heath.  ""The lossaloki ingest frigid water or ice and spew it forth as a lethal blast.""-Kuduk Lore "
Icy Touch	METD	metd_icytouch.jpg	Hazard	Permanent-event	Corruption	Neutral	Common	-	-	-	-	-	-	-	-	2.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	The prowess of one Undead attack is modified by +1. Corruption. The next character wounded by the attack (on whom a corruption card has not already been played this turn) receives 2 corruption points (place this card with the character). Discard Icy Touch if it is not played with a character. During the organization phase, a character with this card may tap and attempt to remove it. Make a roll (or draw a #): if this result is greater than 6, discard this card. 
Incite Denizens	METD	metd_incitedenizens.jpg	Hazard	Short-event	-	Neutral	Common	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	Creates an additional automatic-attack at a Ruins & Lairs [R] until the end of the turn. This is an exact duplicate (including all existing and eventual modifications to prowess, etc.) of an existing automatic-attack of your choice at the site. This automatic-attack is faced after the automatic attack it duplicates. Cannot be duplicated on a given site. 
Incite Minions	METD	metd_inciteminions.jpg	Hazard	Short-event	-	Neutral	Common	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	Creates an additional automatic-attack at a Shadow-hold [S] or a Dark-hold [D] until the end of turn. This is an exact duplicate (including all existing and eventual modifications to prowess, etc.) of an existing automatic-attack of your choice at the site. This automatic-attack is faced after the automatic attack it duplicates. Cannot be duplicated on a given site. 
Ireful Flames	METD	metd_irefulflames.jpg	Hazard	Permanent-event	-	Neutral	Promo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	-	0.0	"Affects the following sites: The Lonely Mountain, Irerock, Zarak Dum, and Gold Hill. For any item played at one of these sites, its player must remove an item from his hand that would itself be playable at the site. Cannot be revealed as an on-guard card. Discard Ireful Flames when any play deck is exhausted.  ""'...It has been said that dragon-fire could melt and consume the Rings of Power...'""-LotRI "
Itangast	METD	metd_itangast.jpg	Hazard	Creature	Dragon Fire-dragon	Neutral	Rare	6	-	Wyrm	-	-	-	18.0	8.0	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3.0	0.0	-	0.0	"Unique. May be played at Gold Hill. Dragon. Three strikes. If Doors of Night is in play, may also be played keyed to Withered Heath, Iron Hills, Northern Rhovanion, Grey Mountain Narrows; may also be played at sites in those regions.   ""The Guest-eater...invited Northman chiefs to a feast at which they were the highlight of the menu.""-Kuduk Lore "
Itangast Ahunt	METD	metd_itangastahunt.jpg	Hazard	Long-event	Dragon Fire-dragon	Neutral	Uncommon	6	-	Wyrm	-	-	-	16.0	7.0	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	0.0	-	0.0	Unique. Any company moving in Withered Heath, Northern Rhovanion, Iron Hills, and/or Grey Mountain Narrows immediately faces one Dragon attack (considered a hazard creature attack)-4 strikes at 16/7. If Doors of Night is in play, this attack also affects: Southern Rhovanion, Dorwinion, Heart of Mirkwood, and Woodland Realm. 
Itangast at Home	METD	metd_itangastathome.jpg	Hazard	Permanent-event	Dragon Fire-dragon	Neutral	Rare	6	-	Wyrm	-	-	-	19.0	8.0	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3.0	0.0	-	0.0	"Unique. Unless Itangast Ahunt is in play, Gold Hill has an additional automatic-attack: Dragon-3 strikes at 19/8. In addition, each greater item gives an additional corruption point.  ""It does not do to leave a live dragon out of your calculations...""-Hob "
Known to an Ounce	METD	metd_knowntoanounce.jpg	Hazard	Permanent-event	-	Neutral	Rare	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	Playable on a site that contains a hoard or on a Dragon at home manifestation. If any item is played at the site or at the site associated with the Dragon at home manifestation, the site's automatic-attacks are again faced. Discard this card when the associated site or Dragon manifestation leaves play. Cannot be duplicated on a given site or Dragon manifestation. 
Land-drake	METD	metd_landdrake.jpg	Hazard	Creature	Drake	Neutral	Common	1	-	-	-	-	-	8.0	-	-	-	-	-	R	-	-	-	-	-	-	-	-	-	-	-	-	1.0	0.0	-	0.0	"Drake. One strike. Attacker chooses defending characters.   ""These smallest worms of the kemenloki startle upon little provocation, and they leap and climb like huge felines.""-Kuduk Lore "
Left Behind	METD	metd_leftbehind.jpg	Hazard	Short-event	-	Neutral	Uncommon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	Playable on a non-Wizard character whose company is facing an attack of five strikes or more. Following the attack, character splits off into a different company with the same site path as the company in which he was. He faces a separate movement/hazard phase this turn with a hazard limit of one. He may rejoin his original company following all movement/hazard phases. 
Lesser Spiders	METD	metd_lesserspiders.jpg	Hazard	Creature	Spiders	Neutral	Common	1	-	-	-	-	-	7.0	-	-	-	-	-	R	-	-	-	-	-	-	-	-	-	-	-	-	4.0	0.0	-	0.0	"Spiders. Four strikes.   ""As he drew himself nearer, he saw that it was made by spider-webs one behind and over and tangled with another. Suddenly he saw, too, that there were spiders huge and horrible sitting in the branches above him...""-Hob "
Leucaruth Ahunt	METD	metd_leucaruthahunt.jpg	Hazard	Long-event	Dragon Fire-dragon	Neutral	Uncommon	4	-	Wyrm	-	-	-	14.0	7.0	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3.0	0.0	-	0.0	Unique. Any company moving in Withered Heath, Northern Rhovanion, Iron Hills, and/or Grey Mountain Narrows immediately faces one Dragon attack (considered a hazard creature attack)-3 strikes at 14/7. If Doors of Night is in play, this attack also affects: Southern Rhovanion, Dorwinion, Heart of Mirkwood, and Woodland Realm. 
Leucaruth at Home	METD	metd_leucaruthathome.jpg	Hazard	Permanent-event	Dragon Fire-dragon	Neutral	Rare	-	-	Wyrm	-	-	-	17.0	8.0	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	0.0	-	0.0	"Unique. Unless Leucaruth Ahunt is in play, Irerock has an additional automatic-attack: Dragon-2 strikes at 17/8. In addition, only one unique Dragon manifestation may be played per turn.  ""...the dreadful echoes, from far down in the depths, of a bellowing and a trampling that made the ground beneath them tremble.""-Hob "
Light-drake	METD	metd_lightdrake.jpg	Hazard	Creature	Drake	Neutral	Common	1	-	-	-	-	-	8.0	-	-	-	-	-	R	-	-	-	-	-	-	-	-	-	-	-	-	2.0	0.0	-	0.0	"Drake. Two strikes.   ""The kalaloki boast whip-like tails with serrated spines, each housing a retractable membrane filled with electrically charged fluid. The sting of one knife-like spine delivers the impact of a lightning bolt!""-Kuduk Lore "
Many Sorrows Befall	METD	metd_manysorrowsbefall.jpg	Hazard	Short-event	-	Neutral	Rare	-	-	-	-	-	-	-	-	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. Forces the discard of resource long-event. Alternatively, can target and cancel one resource short-event declared earlier in the same chain of effects (i.e., before the resource short-event resolves).  ""Many sorrows befell them afterwards, and they were parted long.""-LotRI "
Marsh-drake	METD	metd_marshdrake.jpg	Hazard	Creature	Drake	Neutral	Common	1	-	-	-	-	-	11.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	0.0	-	0.0	"Drake. Two strikes.   ""The hiswaloki rarely ignite their breath, preferring to allow the corrosive gases to burn prey via chemical rather than combustive means.""-Kuduk Lore "
Memories Stolen	METD	metd_memoriesstolen.jpg	Hazard	Permanent-event	Dark Enchantment	Neutral	Rare	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	Dark Enchantment. A non-Wizard character facing a strike from a Dragon hazard creature attack loses skills while bearing this card. The strike's prowess is modified by -3. Cannot be duplicated on a given character. If at a Haven [H] during his organization phase, a character with this card may tap to attempt to remove it. Make a roll (or draw a #): if this result is greater than 8, discard this card. Modify the roll by +1 for each character in his company that taps in support. 
Morgul-rats	METD	metd_morgulrats.jpg	Hazard	Creature	Animals	Neutral	Rare	1	-	-	-	-	-	2.0	5.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.0	1.0	-	0.0	"Animals. 15 strikes. Only playable at a Shadow-hold [S] or at a Dark-hold [D], and only if a character in target company is wounded or Doors of Night is in play.  ""Scavengers of the battlefield by night, these ferile rodents carry the stink of black sorcery in their bite.""-Kuduk Lore "
